pix_x	pix_y	Flag
14	105	1
15	103	1
15	104	1
15	105	1
15	106	1
15	107	1
16	102	1
16	103	1
16	104	1
16	105	1
16	106	1
16	107	1
16	108	1
17	102	1
17	103	1
17	104	1
17	105	1
17	106	1
17	107	1
17	108	1
18	101	1
18	102	1
18	103	1
18	104	1
18	105	1
18	106	1
18	107	1
18	108	1
18	109	1
19	102	1
19	103	1
19	104	1
19	105	1
19	106	1
19	107	1
19	108	1
20	102	1
20	103	1
20	104	1
20	105	1
20	106	1
20	107	1
20	108	1
21	103	1
21	104	1
21	105	1
21	106	1
21	107	1
22	105	1
14	105	1
15	103	1
15	104	1
15	105	1
15	106	1
15	107	1
16	102	1
16	103	1
16	104	1
16	105	1
16	106	1
16	107	1
16	108	1
17	102	1
17	103	1
17	104	1
17	105	1
17	106	1
17	107	1
17	108	1
18	101	1
18	102	1
18	103	1
18	104	1
18	105	1
18	106	1
18	107	1
18	108	1
18	109	1
19	102	1
19	103	1
19	104	1
19	105	1
19	106	1
19	107	1
19	108	1
20	102	1
20	103	1
20	104	1
20	105	1
20	106	1
20	107	1
20	108	1
21	103	1
21	104	1
21	105	1
21	106	1
21	107	1
22	105	1
